symbol;name;short_name;sector;industry
SNTG;Sentage Holdings Inc. Ordinary Shares;Sentage Holdings;Finance;Finance: Consumer Services
SNTI;Senti Biosciences Inc. Common Stock;Senti Biosciences;Health Care;Biotechnology: Pharmaceutical Preparations
SNV;Synovus Financial Corp. Common Stock;Synovus Financial;Finance;Major Banks
SNX;TD SYNNEX Corporation Common Stock;TD SYNNEX;Consumer Discretionary;Electronics Distribution
SNY;Sanofi ADS;Sanofi;Health Care;Biotechnology: Pharmaceutical Preparations
SO;Southern Company (The) Common Stock;Southern Company;Utilities;Power Generation
SOBR;SOBR Safe Inc. Common Stock;SOBR Safe;Industrials;Industrial Machinery/Components
SOFI;SoFi Technologies Inc. Common Stock  ;SoFi Technologies;Finance;Diversified Financial Services
SOFO;Sonic Foundry Inc. Common Stock;Sonic Foundry;Technology;Computer Software: Prepackaged Software
SOHO;Sotherly Hotels Inc. Common Stock;Sotherly Hotels;Real Estate;Real Estate Investment Trusts
SOHOB;Sotherly Hotels Inc. 8.0% Series B Cumulative Redeemable Perpetual Preferred Stock;Sotherly Hotels Preferred Stock;Real Estate;Real Estate Investment Trusts
SOHON;Sotherly Hotels Inc. 8.25% Series D Cumulative Redeemable Perpetual Preferred Stock;Sotherly Hotels Preferred Stock;Real Estate;Real Estate Investment Trusts
SOHOO;Sotherly Hotels Inc. 7.875% Series C Cumulative Redeemable Perpetual Preferred Stock;Sotherly Hotels Preferred Stock;Real Estate;Real Estate Investment Trusts
SOHU;Sohu.com Limited American Depositary Shares;Sohu\.com;Technology;EDP Services
SOHU;Sohu.com Limited American Depositary Shares;Sohu;Technology;EDP Services
SOI;Solaris Oilfield Infrastructure Inc. Class A Common Stock;Solaris Oilfield Infrastructure;Industrials;Metal Fabrications
SOJC;Southern Company (The) Series 2017B 5.25% Junior Subordinated Notes due December 1 2077;Southern Company Junior Subordinated Notes;Utilities;Power Generation
SOJD;Southern Company (The) Series 2020A 4.95% Junior Subordinated Notes due January 30 2080;Southern Company Junior Subordinated Notes;Utilities;Power Generation
SOJE;Southern Company (The) Series 2020C 4.20% Junior Subordinated Notes due October 15 2060;Southern Company Junior Subordinated Notes;Utilities;Electric Utilities: Central
